Date,Close
1/2/2015 16:00:00,21.08
1/5/2015 16:00:00,20.38
1/6/2015 16:00:00,20.1
1/7/2015 16:00:00,20.05
1/8/2015 16:00:00,20.31
1/9/2015 16:00:00,20.09
1/12/2015 16:00:00,19.79
1/13/2015 16:00:00,19.65
1/14/2015 16:00:00,19.5
1/15/2015 16:00:00,20.12
1/16/2015 16:00:00,19.9
1/20/2015 16:00:00,19.61
1/21/2015 16:00:00,19.78
1/22/2015 16:00:00,20.01
1/23/2015 16:00:00,19.8
1/26/2015 16:00:00,19.84
1/27/2015 16:00:00,19.68
1/28/2015 16:00:00,19.38
1/29/2015 16:00:00,19.39
1/30/2015 16:00:00,19.14
2/2/2015 16:00:00,19.55
2/3/2015 16:00:00,19.95
2/4/2015 16:00:00,19.84
2/5/2015 16:00:00,20.36
2/6/2015 16:00:00,20.33
2/9/2015 16:00:00,20.76
2/10/2015 16:00:00,20.84
2/11/2015 16:00:00,20.76
2/12/2015 16:00:00,21.07
2/13/2015 16:00:00,21.34
2/17/2015 16:00:00,21.24
2/18/2015 16:00:00,21.32
2/19/2015 16:00:00,21.2
2/20/2015 16:00:00,21.57
2/23/2015 16:00:00,21.38
2/24/2015 16:00:00,21.42
2/25/2015 16:00:00,21.39
2/26/2015 16:00:00,21.38
2/27/2015 16:00:00,21.39
3/2/2015 16:00:00,21.45
3/3/2015 16:00:00,21.19
3/4/2015 16:00:00,21.14
3/5/2015 16:00:00,21.05
3/6/2015 16:00:00,20.75
3/9/2015 16:00:00,20.75
3/10/2015 16:00:00,20.2
3/11/2015 16:00:00,20.17
3/12/2015 16:00:00,20.2
3/13/2015 16:00:00,20.16
3/16/2015 16:00:00,20.39
3/17/2015 16:00:00,20.39
3/18/2015 16:00:00,21.04
3/19/2015 16:00:00,20.8
3/20/2015 16:00:00,21.41
3/23/2015 16:00:00,21.55
3/24/2015 16:00:00,21.64
3/25/2015 16:00:00,21.4
3/26/2015 16:00:00,21.27
3/27/2015 16:00:00,21.31
3/30/2015 16:00:00,21.37
3/31/2015 16:00:00,21.17
4/1/2015 16:00:00,21.38
4/2/2015 16:00:00,21.49
4/6/2015 16:00:00,21.66
4/7/2015 16:00:00,21.59
4/8/2015 16:00:00,21.51
4/9/2015 16:00:00,21.57
4/10/2015 16:00:00,21.54
4/13/2015 16:00:00,21.48
4/14/2015 16:00:00,21.8
4/15/2015 16:00:00,22.08
4/16/2015 16:00:00,21.97
4/17/2015 16:00:00,21.78
4/20/2015 16:00:00,21.84
4/21/2015 16:00:00,22.07
4/22/2015 16:00:00,21.85
4/23/2015 16:00:00,21.83
4/24/2015 16:00:00,21.69
4/27/2015 16:00:00,21.97
4/28/2015 16:00:00,22.06
4/29/2015 16:00:00,22.2
4/30/2015 16:00:00,21.77
5/1/2015 16:00:00,21.94
5/4/2015 16:00:00,21.4
5/5/2015 16:00:00,21.34
5/6/2015 16:00:00,21.47
5/7/2015 16:00:00,21.35
5/8/2015 16:00:00,21.89
5/11/2015 16:00:00,21.82
5/12/2015 16:00:00,21.74
5/13/2015 16:00:00,22
5/14/2015 16:00:00,22.19
5/15/2015 16:00:00,22.21
5/18/2015 16:00:00,22.15
5/19/2015 16:00:00,21.76
5/20/2015 16:00:00,21.77
5/21/2015 16:00:00,21.93
5/22/2015 16:00:00,21.68
5/26/2015 16:00:00,21.57
5/27/2015 16:00:00,21.9
5/28/2015 16:00:00,21.98
5/29/2015 16:00:00,21.84
6/1/2015 16:00:00,21.67
6/2/2015 16:00:00,22.03
6/3/2015 16:00:00,22.34
6/4/2015 16:00:00,23.14
6/5/2015 16:00:00,22.8
6/8/2015 16:00:00,22.67
6/9/2015 16:00:00,22.61
6/10/2015 16:00:00,22.94
6/11/2015 16:00:00,22.7
6/12/2015 16:00:00,22.77
6/15/2015 16:00:00,22.51
6/16/2015 16:00:00,22.59
6/17/2015 16:00:00,22.28
6/18/2015 16:00:00,22.14
6/19/2015 16:00:00,22.31
6/22/2015 16:00:00,22.43
6/23/2015 16:00:00,22.28
6/24/2015 16:00:00,21.73
6/25/2015 16:00:00,21.53
6/26/2015 16:00:00,21.87
6/29/2015 16:00:00,21.29
6/30/2015 16:00:00,20.88
7/1/2015 16:00:00,20.87
7/2/2015 16:00:00,20.8
7/6/2015 16:00:00,20.52
7/7/2015 16:00:00,20.46
7/8/2015 16:00:00,20.13
7/9/2015 16:00:00,20.01
7/10/2015 16:00:00,20.59
7/13/2015 16:00:00,20.76
7/14/2015 16:00:00,20.88
7/15/2015 16:00:00,20.52
7/16/2015 16:00:00,20.77
7/17/2015 16:00:00,20.65
7/20/2015 16:00:00,20.71
7/21/2015 16:00:00,20.64
7/22/2015 16:00:00,20.39
7/23/2015 16:00:00,20.65
7/24/2015 16:00:00,20
7/27/2015 16:00:00,19.68
7/28/2015 16:00:00,19.87
7/29/2015 16:00:00,19.94
7/30/2015 16:00:00,20.04
7/31/2015 16:00:00,20.28
8/3/2015 16:00:00,20.1
8/4/2015 16:00:00,20.04
8/5/2015 16:00:00,20.37
8/6/2015 16:00:00,20.39
8/7/2015 16:00:00,20.5
8/10/2015 16:00:00,20.81
8/11/2015 16:00:00,20.35
8/12/2015 16:00:00,20.32
8/13/2015 16:00:00,20.05
8/14/2015 16:00:00,20.02
8/17/2015 16:00:00,20.07
8/18/2015 16:00:00,19.88
8/19/2015 16:00:00,19.7
8/20/2015 16:00:00,19.29
8/21/2015 16:00:00,18.99
8/24/2015 16:00:00,18.71
8/25/2015 16:00:00,18.62
8/26/2015 16:00:00,19.07
8/27/2015 16:00:00,19.32
8/28/2015 16:00:00,19.33
8/31/2015 16:00:00,19.31
9/1/2015 16:00:00,18.91
9/2/2015 16:00:00,18.81
9/3/2015 16:00:00,18.84
9/4/2015 16:00:00,18.33
9/8/2015 16:00:00,19.03
9/9/2015 16:00:00,18.73
9/10/2015 16:00:00,18.67
9/11/2015 16:00:00,18.8
9/14/2015 16:00:00,18.51
9/15/2015 16:00:00,18.62
9/16/2015 16:00:00,18.82
9/17/2015 16:00:00,18.67
9/18/2015 16:00:00,18.17
9/21/2015 16:00:00,18.13
9/22/2015 16:00:00,17.7
9/23/2015 16:00:00,17.36
9/24/2015 16:00:00,17.36
9/25/2015 16:00:00,17.27
9/28/2015 16:00:00,17.14
9/29/2015 16:00:00,17.37
9/30/2015 16:00:00,17.67
10/1/2015 16:00:00,17.54
10/2/2015 16:00:00,17.87
10/5/2015 16:00:00,18.21
10/6/2015 16:00:00,18.29
10/7/2015 16:00:00,18.45
10/8/2015 16:00:00,18.71
10/9/2015 16:00:00,18.96
10/12/2015 16:00:00,18.74
10/13/2015 16:00:00,18.49
10/14/2015 16:00:00,18.55
10/15/2015 16:00:00,18.66
10/16/2015 16:00:00,18.26
10/19/2015 16:00:00,17.87
10/20/2015 16:00:00,18.14
10/21/2015 16:00:00,18.03
10/22/2015 16:00:00,18.16
10/23/2015 16:00:00,18.6
10/26/2015 16:00:00,18.47
10/27/2015 16:00:00,18.33
10/28/2015 16:00:00,18.76
10/29/2015 16:00:00,18.72
10/30/2015 16:00:00,18.88
11/2/2015 16:00:00,19.1
11/3/2015 16:00:00,19.05
11/4/2015 16:00:00,19.14
11/5/2015 16:00:00,19.09
