Date,Close
1/2/2015 16:00:00,39.74
1/5/2015 16:00:00,38.32
1/6/2015 16:00:00,38.08
1/7/2015 16:00:00,38.44
1/8/2015 16:00:00,39.02
1/9/2015 16:00:00,39.23
1/12/2015 16:00:00,38.35
1/13/2015 16:00:00,37.96
1/14/2015 16:00:00,36.91
1/15/2015 16:00:00,37.4
1/16/2015 16:00:00,38.57
1/20/2015 16:00:00,38.18
1/21/2015 16:00:00,38.9
1/22/2015 16:00:00,39.54
1/23/2015 16:00:00,38.03
1/26/2015 16:00:00,38.46
1/27/2015 16:00:00,38.31
1/28/2015 16:00:00,37.95
1/29/2015 16:00:00,38.19
1/30/2015 16:00:00,38.72
2/2/2015 16:00:00,39.54
2/3/2015 16:00:00,41.75
2/4/2015 16:00:00,40.8
2/5/2015 16:00:00,41.48
2/6/2015 16:00:00,40.36
2/9/2015 16:00:00,41.15
2/10/2015 16:00:00,40.41
2/11/2015 16:00:00,40.07
2/12/2015 16:00:00,40.8
2/13/2015 16:00:00,42.79
2/17/2015 16:00:00,42.62
2/18/2015 16:00:00,42.68
2/19/2015 16:00:00,42.19
2/20/2015 16:00:00,42.19
2/23/2015 16:00:00,41.42
2/24/2015 16:00:00,43.72
2/25/2015 16:00:00,43.92
2/26/2015 16:00:00,43.35
2/27/2015 16:00:00,43.9
3/2/2015 16:00:00,43.71
3/3/2015 16:00:00,43.46
3/4/2015 16:00:00,43.15
3/5/2015 16:00:00,42.57
3/6/2015 16:00:00,41.25
3/9/2015 16:00:00,41.32
3/10/2015 16:00:00,39.66
3/11/2015 16:00:00,38.1
3/12/2015 16:00:00,38.41
3/13/2015 16:00:00,37.24
3/16/2015 16:00:00,37.8
3/17/2015 16:00:00,38.57
3/18/2015 16:00:00,39.49
3/19/2015 16:00:00,38.95
3/20/2015 16:00:00,40.17
3/23/2015 16:00:00,41.3
3/24/2015 16:00:00,41.03
3/25/2015 16:00:00,40.58
3/26/2015 16:00:00,40.16
3/27/2015 16:00:00,39.37
3/30/2015 16:00:00,39.44
3/31/2015 16:00:00,38.84
4/1/2015 16:00:00,38.52
4/2/2015 16:00:00,38.08
4/6/2015 16:00:00,38.88
4/7/2015 16:00:00,39.05
4/8/2015 16:00:00,39.06
4/9/2015 16:00:00,38.32
4/10/2015 16:00:00,38.3
4/13/2015 16:00:00,36.69
4/14/2015 16:00:00,38.13
4/15/2015 16:00:00,38.54
4/16/2015 16:00:00,39.13
4/17/2015 16:00:00,38.82
4/20/2015 16:00:00,39.23
4/21/2015 16:00:00,38.66
4/22/2015 16:00:00,39.95
4/23/2015 16:00:00,41.14
4/24/2015 16:00:00,42.66
4/27/2015 16:00:00,43.07
4/28/2015 16:00:00,43.69
4/29/2015 16:00:00,43.36
4/30/2015 16:00:00,42.87
5/1/2015 16:00:00,43.4
5/4/2015 16:00:00,43.6
5/5/2015 16:00:00,43.49
5/6/2015 16:00:00,42.97
5/7/2015 16:00:00,42.02
5/8/2015 16:00:00,42.46
5/11/2015 16:00:00,42.7
5/12/2015 16:00:00,43.33
5/13/2015 16:00:00,43.31
5/14/2015 16:00:00,43.28
5/15/2015 16:00:00,43.09
5/18/2015 16:00:00,43.14
5/19/2015 16:00:00,41
5/20/2015 16:00:00,41.02
5/21/2015 16:00:00,41.28
5/22/2015 16:00:00,40.91
5/26/2015 16:00:00,40.3
5/27/2015 16:00:00,40.31
5/28/2015 16:00:00,39.75
5/29/2015 16:00:00,39.81
6/1/2015 16:00:00,39.25
6/2/2015 16:00:00,40.17
6/3/2015 16:00:00,39.59
6/4/2015 16:00:00,38.44
6/5/2015 16:00:00,38.27
6/8/2015 16:00:00,38.2
6/9/2015 16:00:00,37.65
6/10/2015 16:00:00,38.82
6/11/2015 16:00:00,38.82
6/12/2015 16:00:00,38.62
6/15/2015 16:00:00,38.25
6/16/2015 16:00:00,38.44
6/17/2015 16:00:00,38.87
6/18/2015 16:00:00,39.49
6/19/2015 16:00:00,39.07
6/22/2015 16:00:00,39.21
6/23/2015 16:00:00,39.79
6/24/2015 16:00:00,39.59
6/25/2015 16:00:00,38.66
6/26/2015 16:00:00,38.08
6/29/2015 16:00:00,37.22
6/30/2015 16:00:00,36.31
7/1/2015 16:00:00,36.11
7/2/2015 16:00:00,36.83
7/6/2015 16:00:00,35.31
7/7/2015 16:00:00,34.76
7/8/2015 16:00:00,33.35
7/9/2015 16:00:00,34.25
7/10/2015 16:00:00,35.2
7/13/2015 16:00:00,36.13
7/14/2015 16:00:00,35.63
7/15/2015 16:00:00,35.04
7/16/2015 16:00:00,35.52
7/17/2015 16:00:00,35.28
7/20/2015 16:00:00,34.9
7/21/2015 16:00:00,35.39
7/22/2015 16:00:00,33.62
7/23/2015 16:00:00,32.93
7/24/2015 16:00:00,32.38
7/27/2015 16:00:00,32.39
7/28/2015 16:00:00,33.37
7/29/2015 16:00:00,34.16
7/30/2015 16:00:00,34.01
7/31/2015 16:00:00,34.22
8/3/2015 16:00:00,33.26
8/4/2015 16:00:00,34.21
8/5/2015 16:00:00,34.78
8/6/2015 16:00:00,34.71
8/7/2015 16:00:00,34.46
8/10/2015 16:00:00,35.43
8/11/2015 16:00:00,33.73
8/12/2015 16:00:00,34.03
8/13/2015 16:00:00,33.64
8/14/2015 16:00:00,33.79
8/17/2015 16:00:00,33.16
8/18/2015 16:00:00,32.75
8/19/2015 16:00:00,32.19
8/20/2015 16:00:00,31.99
8/21/2015 16:00:00,30.93
8/24/2015 16:00:00,28.7
8/25/2015 16:00:00,29.36
8/26/2015 16:00:00,30.4
8/27/2015 16:00:00,32.11
8/28/2015 16:00:00,32.72
8/31/2015 16:00:00,32.85
9/1/2015 16:00:00,30.4
9/2/2015 16:00:00,31.15
9/3/2015 16:00:00,31.22
9/4/2015 16:00:00,30.1
9/8/2015 16:00:00,31.32
